model_loaded,test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,n_test_trials,n_test_samples,channel
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.3695790767669678,1.8673697710037231,0.9806884527206421,0.9606695771217346,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,C1
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,3.041412591934204,2.411306619644165,0.9699764251708984,0.9378262758255005,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,Cz
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.3197367191314697,1.8377138376235962,0.9815424084663391,0.9616796374320984,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,C2
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,3.973381519317627,3.000380516052246,0.9470835328102112,0.8853574395179749,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,C6
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.76615571975708,1.3933762311935425,0.9888802766799927,0.977875292301178,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,CP3
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.8318264484405518,1.4584035873413086,0.9883160591125488,0.9765965938568115,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,CP1
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.9957331418991089,1.5826340913772583,0.9868772029876709,0.9736044406890869,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,CPz
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.735973834991455,1.3670083284378052,0.9898480772972107,0.979631781578064,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,CP2
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.976760983467102,1.5653467178344727,0.986565351486206,0.9731671810150146,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,CP4
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,2.1148433685302734,1.6564632654190063,0.9857162833213806,0.9706358909606934,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,P1
True,A03T,5,"Fz,C3,C4,Pz,POz",17,interpolation_residual,1.8483052253723145,1.442691445350647,0.9890909194946289,0.9779983162879944,0.2876550054956391,0.39597172045385487,0.4280163734840743,1.7679811541800607,1.6015677712373466,270,20000,P2
True,A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,2.2286250591278076,1.563896894454956,0.9823650121688843,0.9650284857928811,0.2887061915047087,0.40645022319985846,0.4575565447805914,1.8064544862174696,1.7037290462978032,270,20000,
True,A03T,10,"Fz,FC3,FC4,C3,Cz,C4,CP3,CP4,Pz,POz",12,interpolation_residual,1.7031067609786987,1.359856367111206,0.9896096587181091,0.9788795113563538,0.2887061915047087,0.40645022319985846,0.4575565447805914,1.8064544862174696,1.7037290462978032,270,20000,FC1
