Condition,Trial,Channel,Pearson_r,MSE
Baseline (with_audio_and_visual_stimulus),trial_18,F7,-0.3749406415312028,6.080946827004995e-11
Baseline (with_audio_and_visual_stimulus),trial_18,F3,-0.09251493960846505,1.6887598392566718e-11
Baseline (with_audio_and_visual_stimulus),trial_18,F4,-0.17316140649930267,2.8372757625281716e-11
Baseline (with_audio_and_visual_stimulus),trial_18,F8,-0.3011507399404654,5.240669804379793e-11
Baseline (with_audio_and_visual_stimulus),trial_18,T3,-0.06035349334772326,2.0090468702601277e-11
Baseline (with_audio_and_visual_stimulus),trial_18,T4,-0.11891816848615043,1.444849596596769e-11
Baseline (with_audio_and_visual_stimulus),trial_18,T5,-0.2177410687926348,1.5806337884321684e-11
Baseline (with_audio_and_visual_stimulus),trial_18,T6,-0.2291091240068199,1.5053930141842834e-11
Baseline (with_audio_and_visual_stimulus),trial_19,F7,-0.32688881849951623,5.660049981260758e-11
Baseline (with_audio_and_visual_stimulus),trial_19,F3,-0.10864387124948748,1.9151392906453252e-11
Baseline (with_audio_and_visual_stimulus),trial_19,F4,-0.18527348095989882,2.878797335888143e-11
Baseline (with_audio_and_visual_stimulus),trial_19,F8,-0.3217989422787147,5.531555024506434e-11
Baseline (with_audio_and_visual_stimulus),trial_19,T3,-0.03055819698551917,2.0467547829086667e-11
Baseline (with_audio_and_visual_stimulus),trial_19,T4,-0.14598002598248558,1.557907550049527e-11
Baseline (with_audio_and_visual_stimulus),trial_19,T5,-0.15382705663815202,1.4056363150014836e-11
Baseline (with_audio_and_visual_stimulus),trial_19,T6,-0.29627675370897844,1.6377871998915966e-11
Baseline (with_audio_and_visual_stimulus),trial_20,F7,-0.26371529979244535,5.284966620533412e-11
