test_subject,n_input_channels,input_channels,n_reconstructed_channels,method,n_test_trials,n_test_samples,model_loaded,rmse,mae,pearson_r,r2,band_rmse_delta,band_rmse_theta,band_rmse_alpha,band_rmse_beta,band_rmse_gamma,channel
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,270,270000,True,1.9207979440689087,1.3055145740509033,0.9740520119667053,0.9487336812978242,0.6924953152171314,0.6304384477771391,0.7891061723074292,1.0585236938077252,1.0704453845073945,
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,270,270000,True,1.1900182962417603,0.9452579021453857,0.9923909902572632,0.9847970008850098,0.6924953152171314,0.6304384477771391,0.7891061723074292,1.0585236938077252,1.0704453845073945,FCz
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,270,270000,True,3.133864402770996,2.1913740634918213,0.9018142819404602,0.8131027817726135,0.6924953152171314,0.6304384477771391,0.7891061723074292,1.0585236938077252,1.0704453845073945,C5
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,270,270000,True,2.860229969024658,2.1184945106506348,0.9468168616294861,0.8943338394165039,0.6924953152171314,0.6304384477771391,0.7891061723074292,1.0585236938077252,1.0704453845073945,C6
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,270,270000,True,0.8537440896034241,0.6778524518013,0.995450496673584,0.9909076690673828,0.6924953152171314,0.6304384477771391,0.7891061723074292,1.0585236938077252,1.0704453845073945,CPz
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,270,270000,True,1.223717451095581,0.971411943435669,0.9886878132820129,0.9770792126655579,0.6924953152171314,0.6304384477771391,0.7891061723074292,1.0585236938077252,1.0704453845073945,P1
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,270,270000,True,1.1002672910690308,0.8725111484527588,0.9916759133338928,0.9832150936126709,0.6924953152171314,0.6304384477771391,0.7891061723074292,1.0585236938077252,1.0704453845073945,P2
A02T,15,"Fz,FC3,FC1,FC2,FC4,C3,C1,Cz,C2,C4,CP3,CP1,CP2,CP4,Pz",7,Learned_BEM_Residual,270,270000,True,1.7231554985046387,1.3616772890090942,0.9767970442771912,0.9528570175170898,0.6924953152171314,0.6304384477771391,0.7891061723074292,1.0585236938077252,1.0704453845073945,POz
A03T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,270,270000,True,2.4811906814575195,1.8537472486495972,0.9781196117401123,0.9567064374170515,1.3787823362928278,1.4197409256253348,1.9388533955788099,3.052433769882569,2.07899543164066,
A03T,5,"Fz,C3,C4,Pz,POz",17,Learned_BEM_Residual,270,270000,True,2.347804069519043,1.8418201208114624,0.9787576198577881,0.9579159617424011,1.3787823362928278,1.4197409256253348,1.9388533955788099,3.052433769882569,2.07899543164066,FC3
